#Nome: Leandro Diniz Silva
#Matricula: 2019105718
Teste;Resultado BackTrack;Tempo BackTrack;Resultado BranchBound;Tempo BranchBound
f10_l-d_kp_20_879;798.0;0.004012107849121094;679.0;0.0
f1_l-d_kp_10_269;293.0;0.0;114.0;0.0
f2_l-d_kp_20_878;878.0;0.003011465072631836;678.0;0.0010023117065429688
f3_l-d_kp_4_20;28.0;0.0;35.0;0.0
f4_l-d_kp_4_11;23.0;0.0;22.0;0.0
f5_l-d_kp_15_375;408.81999933719635;0.0010025501251220703;96.529998421669;0.0
f6_l-d_kp_10_60;50.0;0.0;33.0;0.0
f7_l-d_kp_7_50;79.0;0.0;88.0;0.0
f8_l-d_kp_23_10000;9552.0;0.0010023117065429688;9673.0;0.0010046958923339844
f9_l-d_kp_5_80;118.0;0.0;130.0;0.0
teste.txt;280.0;0.0;160.0;0.0
teste2.txt;52.0;0.0;25.0;0.0
